35 3 5 1

15	0.785	1.0807		
15	0.7618	1.0875
15	0.7665	1.086
15	0.7857	1.0802
15	0.7803	1.0792
15	0.769	1.0895
15	0.7746	1.0756
20	0.7568	1.0889
20	0.7493	1.0941
20	0.7594	1.0766
20	0.7559	1.0818
20	0.76	1.0866
20	0.758	1.0821
20	0.7679	1.1038
25	0.7445	1.1111
25	0.7248	1.1015
25	0.7197	1.0838
25	0.7343	1.0791
25	0.7283	1.0895
25	0.7211	1.0875
25	0.7276	1.0968
30	0.6873	1.107
30	0.6915	1.0891
30	0.6819	1.0992
30	0.6992	1.0949
30	0.6973	1.1059
30	0.6975	1.1031
30	0.7042	1.1033
35	0.6354	1.1302
35	0.6464	1.0909
35	0.6441	1.0902
35	0.6588	1.127
35	0.6386	1.1067
35	0.6361	1.0967
35	0.6426	1.109
